date,gross_return,turnover,cost,net_return,nav
2022-10-17,-0.004263548111021636,0.4306643091360003,0.0006459964637040005,-0.004909544574725637,1.1425602494590779
2022-10-18,0.0008522680940295704,0.0,0.0,0.0008522680940295704,1.1435340171051982
2022-10-19,-0.0022151755134375206,0.0,0.0,-0.0022151755134375206,1.141000888551724
2022-10-20,-0.005225610614192911,0.0,0.0,-0.005225610614192911,1.1350384621977045
2022-10-21,0.0005229559158421114,0.0,0.0,0.0005229559158421114,1.1356320372762192
2022-10-24,-0.009164035742041622,0.8244319803504637,0.0012366479705256954,-0.010400683712567317,1.1238206876426509
2022-10-25,-0.0041457472245190604,0.0,0.0,-0.0041457472245190604,1.1191616111459992
2022-10-26,-0.0033030738584180616,0.0,0.0,-0.0033030738584180616,1.1154649376848778
2022-10-27,0.0017477632492960953,0.0,0.0,0.0017477632492960953,1.1174145063088419
2022-10-28,-0.006457833320246075,0.0,0.0,-0.006457833320246075,1.1101984296774743
2022-10-31,0.0015234897412810741,1.0335135932492223,0.0015502703898738336,-2.678064859275948e-05,1.1101686978434608
2022-11-01,-0.0009993218757848588,0.0,0.0,-0.0009993218757848588,1.1090592819778942
2022-11-02,0.0008999949012451242,0.0,0.0,0.0008999949012451242,1.1100574296768528
2022-11-03,-0.0008937376839555502,0.0,0.0,-0.0008937376839555502,1.1090653295205959
2022-11-04,0.0007444441147708991,0.0,0.0,0.0007444441147708991,1.1098909666780539
2022-11-07,0.00178304161015869,0.6351845091189445,0.0009527767636784167,0.0008302648464802733,1.1108124701311126
2022-11-08,0.0020558246137165883,0.0,0.0,0.0020558246137165883,1.1130961057484314
2022-11-09,0.007551441763823448,0.0,0.0,0.007551441763823448,1.1215015861685294
2022-11-10,-0.00031030880300306673,0.0,0.0,-0.00031030880300306673,1.1211535743537593
2022-11-11,0.00261182858279526,0.0,0.0,0.00261182858279526,1.1240818353049593
2022-11-14,-0.006438540702017865,0.979424181235585,0.0014691362718533775,-0.007907676973871243,1.1151929592591714
2022-11-15,0.00276687773542287,0.0,0.0,0.00276687773542287,1.118278561828846
2022-11-16,0.0027673908538844447,0.0,0.0,0.0027673908538844447,1.1213732756929464
