fund_code,fund_name,fund_family,share_class,fund_type,etf_symbol,etf_name,underlying_name,asset_class,mapping_score,mapping_confidence,mapping_method,etf_rows_valid,etf_median_amount_60d,executable
002656,南方创业板ETF联接A,南方创业板ETF联接,A,指数型-股票,159948,创业板ETF南方,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2458,103761811.0,True
003017,广发中证军工ETF联接A,广发中证军工ETF联接,A,指数型-股票,512680,军工ETF广发,军工,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2371,72755786.5,True
003194,汇添富中证上海国企ETF联接A,汇添富中证上海国企ETF联接,A,指数型-股票,510810,上海国企ETF汇添富,上海国企,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2390,4999543.5,True
004069,南方中证全指证券公司ETF联接A,南方中证全指证券公司ETF联接,A,指数型-股票,512900,证券ETF南方,证券,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2246,54236305.0,True
004432,南方有色金属ETF联接A,南方有色金属ETF联接,A,指数型-股票,512400,有色金属ETF南方,有色金属,commodity,100.0,HIGH,name_underlying_issuer_v1,2152,1195297557.0,True
004488,嘉实富时中国A50ETF联接A,嘉实富时中国A50ETF联接,A,指数型-股票,562890,A50ETF嘉实,A50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,566,18115994.0,True
004752,广发中证传媒ETF联接A,广发中证传媒ETF联接,A,指数型-股票,512980,传媒ETF广发,传媒,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2058,221305786.5,True
005102,工银沪深300ETF联接A,工银沪深300ETF联接,A,指数型-股票,510350,沪深300ETF工银,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1676,25200671.5,True
005223,广发中证基建工程ETF联接A,广发中证基建工程ETF联接,A,指数型-股票,516970,基建ETF广发,基建,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1221,40089429.5,True
005390,工银创业板ETF联接A,工银创业板ETF联接,A,指数型-股票,159958,创业板ETF工银,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2058,10383544.0,True
005761,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接,A,指数型-股票,515160,MSCI中国ETF招商,MSCI中国,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1548,1045002.0,True
006098,华宝券商ETF联接A,华宝券商ETF联接,A,指数型-股票,512000,券商ETF华宝,券商,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2386,1284141293.0,True
006220,工银上证50ETF联接A,工银上证50ETF联接,A,指数型-股票,510850,上证50ETF工银,上证50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1788,13750565.0,True
006248,华夏创业板ETF联接A,华夏创业板ETF联接,A,指数型-股票,159957,创业板ETF华夏,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2069,205627854.5,True
006486,广发中证1000ETF联接A,广发中证1000ETF联接,A,指数型-股票,560010,中证1000ETF广发,中证1000,equity_broad,100.0,HIGH,name_underlying_issuer_v1,956,745209540.5,True
006656,方正富邦中证500ETF联接A,方正富邦中证500ETF联接,A,指数型-股票,510550,中证500ETF方正富邦,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1818,1611292.0,True
