fund_code,fund_name,subscription_fee_rate,subscription_confirmation_days,redemption_confirmation_days,redemption_settlement_days,minimum_holding_calendar_days,maximum_subscription_amount_per_order,subscription_open,redemption_open,rule_status,official_source,effective_from,effective_to,channel,source_url,verified_at
006662,易方达安悦超短债A,0.0,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
006663,易方达安悦超短债C,0.0,1,1,7,0,,1,1,OFFICIAL_VERIFIED,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,,,ALL,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,
007466,华泰柏瑞中证红利低波ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_007466.html,,,ALL,https://fundf10.eastmoney.com/jjfl_007466.html,
007605,嘉实沪深300红利低波动ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_007605.html,,,ALL,https://fundf10.eastmoney.com/jjfl_007605.html,
013425,博时标普500ETF联接美元汇(QDII)A,0.012,2,2,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
014430,南方中证同业存单AAA指数7天持有,0.0,1,1,7,7,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_014430.html,,,ALL,https://fundf10.eastmoney.com/jjfl_014430.html,
016633,富国中证1000ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_016633.html,,,ALL,https://fundf10.eastmoney.com/jjfl_016633.html,
021778,广发纳指100ETF联接(QDII)人民币F,0.0,2,2,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_021778.html,,,ALL,https://fundf10.eastmoney.com/jjfl_021778.html,
040003,华安现金富利货币A,0.0,1,1,1,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_040003.html,,,ALL,https://fundf10.eastmoney.com/jjfl_040003.html,
040046,华安纳斯达克100ETF联接(QDII)A,0.012,2,2,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_040046.html,,,ALL,https://fundf10.eastmoney.com/jjfl_040046.html,
050003,博时现金收益货币A,0.0,1,1,1,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_050003.html,,,ALL,https://fundf10.eastmoney.com/jjfl_050003.html,
050021,博时创业板ETF联接A,0.008,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_050021.html,,,ALL,https://fundf10.eastmoney.com/jjfl_050021.html,
050025,博时标普500ETF联接A,0.012,2,2,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_050025.html,,,ALL,https://fundf10.eastmoney.com/jjfl_050025.html,
090010,大成中证红利指数A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
110003,易方达上证50增强A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
110020,易方达沪深300ETF联接A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
160119,南方中证500ETF联接(LOF)A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
160706,嘉实沪深300ETF联接A,0.015,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_160706.html,,,ALL,https://fundf10.eastmoney.com/jjfl_160706.html,
161125,易方达标普500指数人民币A,0.012,2,2,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
202301,南方现金增利货币A,0.0,1,1,1,0,,1,1,PRODUCT_TYPE_ASSUMPTION,https://www.nffund.com/main/jjcp/fundproduct/202301.shtml,,,ALL,https://www.nffund.com/main/jjcp/fundproduct/202301.shtml,
217004,招商现金增值货币A,0.0,1,1,1,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_217004.html,,,ALL,https://fundf10.eastmoney.com/jjfl_217004.html,
260102,景顺长城货币A,0.0,1,1,1,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_260102.html,,,ALL,https://fundf10.eastmoney.com/jjfl_260102.html,
270042,广发纳斯达克100ETF联接人民币(QDII)A,0.012,2,2,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_270042.html,,,ALL,https://fundf10.eastmoney.com/jjfl_270042.html,
040045,,0.00045,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
004155,,0.0008,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
005756,,0.0,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
000187,,0.0008,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
003571,,0.008,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
519777,,0.0,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
002716,,0.008,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
003668,,0.0005,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
410004,,0.0008,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
531020,,0.0,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
675013,,0.0,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
040036,,0.0008,1,1,7,0,,TRUE,TRUE,CONSERVATIVE_ASSUMPTION,expanded_pool_auto,,,ALL,expanded_pool_auto,
161716,,0.0008,1,1,7,0,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
018613,,0.0,1,1,1,7,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
018809,,0.0,1,1,1,7,,TRUE,TRUE,DISTRIBUTOR_VERIFIED,fund_company_disclosure,,,ALL,fund_company_disclosure,
