asset,signal_symbol,signal_name,implementation_fund,implementation_name,defensive
CSI300,510300,沪深300ETF,,,0
CSI500,510500,中证500ETF,,,0
CSI1000,512100,中证1000ETF,,,0
CHINEXT,159915,创业板ETF,,,0
DIVIDEND,510880,红利ETF,,,0
GOLD,518880,黄金ETF,,,0
NASDAQ100,513100,纳指ETF,,,0
SP500,513500,标普500ETF,,,0
BOND,511010,国债ETF,,,1
