date,close,total_return_proxy,cumulative_dividend,split_factor
2024-01-18,0.969,0.969,0.0,1.0
2024-01-19,0.962,0.962,0.0,1.0
2024-01-22,0.918,0.918,0.0,1.0
2024-01-23,0.934,0.934,0.0,1.0
2024-01-24,0.941,0.941,0.0,1.0
2024-01-25,0.959,0.959,0.0,1.0
2024-01-26,0.951,0.951,0.0,1.0
2024-01-29,0.923,0.923,0.0,1.0
2024-01-30,0.9,0.9,0.0,1.0
2024-01-31,0.871,0.871,0.0,1.0
2024-02-01,0.88,0.88,0.0,1.0
2024-02-02,0.855,0.855,0.0,1.0
2024-02-05,0.81,0.81,0.0,1.0
2024-02-06,0.87,0.87,0.0,1.0
2024-02-07,0.901,0.901,0.0,1.0
2024-02-08,0.938,0.938,0.0,1.0
2024-02-19,0.955,0.955,0.0,1.0
2024-02-20,0.959,0.959,0.0,1.0
2024-02-21,0.958,0.958,0.0,1.0
2024-02-22,0.976,0.976,0.0,1.0
2024-02-23,0.994,0.994,0.0,1.0
2024-02-26,1.03,1.03,0.0,1.0
2024-02-27,1.055,1.055,0.0,1.0
2024-02-28,1.002,1.002,0.0,1.0
2024-02-29,1.05,1.05,0.0,1.0
2024-03-01,1.079,1.079,0.0,1.0
2024-03-04,1.088,1.088,0.0,1.0
2024-03-05,1.077,1.077,0.0,1.0
2024-03-06,1.099,1.099,0.0,1.0
2024-03-07,1.075,1.075,0.0,1.0
2024-03-08,1.09,1.09,0.0,1.0
2024-03-11,1.099,1.099,0.0,1.0
2024-03-12,1.098,1.098,0.0,1.0
2024-03-13,1.097,1.097,0.0,1.0
2024-03-14,1.09,1.09,0.0,1.0
2024-03-15,1.106,1.106,0.0,1.0
2024-03-18,1.125,1.125,0.0,1.0
2024-03-19,1.112,1.112,0.0,1.0
2024-03-20,1.118,1.118,0.0,1.0
2024-03-21,1.109,1.109,0.0,1.0
2024-03-22,1.094,1.094,0.0,1.0
2024-03-25,1.068,1.068,0.0,1.0
2024-03-26,1.058,1.058,0.0,1.0
2024-03-27,1.021,1.021,0.0,1.0
2024-03-28,1.055,1.055,0.0,1.0
2024-03-29,1.063,1.063,0.0,1.0
2024-04-01,1.078,1.078,0.0,1.0
2024-04-02,1.06,1.06,0.0,1.0
2024-04-03,1.043,1.043,0.0,1.0
2024-04-08,1.018,1.018,0.0,1.0
2024-04-09,1.023,1.023,0.0,1.0
2024-04-10,1.01,1.01,0.0,1.0
2024-04-11,1.018,1.018,0.0,1.0
2024-04-12,1.014,1.014,0.0,1.0
2024-04-15,1.009,1.009,0.0,1.0
2024-04-16,0.966,0.966,0.0,1.0
2024-04-17,1.012,1.012,0.0,1.0
2024-04-18,1.014,1.014,0.0,1.0
2024-04-19,0.998,0.998,0.0,1.0
2024-04-22,0.994,0.994,0.0,1.0
2024-04-23,0.994,0.994,0.0,1.0
2024-04-24,1.011,1.011,0.0,1.0
2024-04-25,1.002,1.002,0.0,1.0
2024-04-26,1.026,1.026,0.0,1.0
2024-04-29,1.065,1.065,0.0,1.0
2024-04-30,1.052,1.052,0.0,1.0
2024-05-06,1.07,1.07,0.0,1.0
2024-05-07,1.071,1.071,0.0,1.0
2024-05-08,1.051,1.051,0.0,1.0
2024-05-09,1.065,1.065,0.0,1.0
2024-05-10,1.052,1.052,0.0,1.0
2024-05-13,1.038,1.038,0.0,1.0
2024-05-14,1.039,1.039,0.0,1.0
2024-05-15,1.029,1.029,0.0,1.0
2024-05-16,1.021,1.021,0.0,1.0
2024-05-17,1.034,1.034,0.0,1.0
2024-05-20,1.036,1.036,0.0,1.0
2024-05-21,1.025,1.025,0.0,1.0
2024-05-22,1.029,1.029,0.0,1.0
2024-05-23,1.011,1.011,0.0,1.0
2024-05-24,0.993,0.993,0.0,1.0
2024-05-27,1.008,1.008,0.0,1.0
2024-05-28,0.992,0.992,0.0,1.0
2024-05-29,0.995,0.995,0.0,1.0
2024-05-30,0.998,0.998,0.0,1.0
2024-05-31,1.01,1.01,0.0,1.0
2024-06-03,1.007,1.007,0.0,1.0
2024-06-04,1.004,1.004,0.0,1.0
