date,close,total_return_proxy,cumulative_dividend,split_factor
2024-04-23,0.978,0.978,0.0,1.0
2024-04-24,0.999,0.999,0.0,1.0
2024-04-25,0.999,0.999,0.0,1.0
2024-04-26,1.028,1.028,0.0,1.0
2024-04-29,1.068,1.068,0.0,1.0
2024-04-30,1.054,1.054,0.0,1.0
2024-05-06,1.061,1.061,0.0,1.0
2024-05-07,1.053,1.053,0.0,1.0
2024-05-08,1.033,1.033,0.0,1.0
2024-05-09,1.067,1.067,0.0,1.0
2024-05-10,1.036,1.036,0.0,1.0
2024-05-13,1.022,1.022,0.0,1.0
2024-05-14,1.02,1.02,0.0,1.0
2024-05-15,1.014,1.014,0.0,1.0
2024-05-16,1.016,1.016,0.0,1.0
2024-05-17,1.034,1.034,0.0,1.0
2024-05-20,1.035,1.035,0.0,1.0
2024-05-21,1.022,1.022,0.0,1.0
2024-05-22,1.031,1.031,0.0,1.0
2024-05-23,1.015,1.015,0.0,1.0
2024-05-24,0.99,0.99,0.0,1.0
2024-05-27,1.028,1.028,0.0,1.0
2024-05-28,1.024,1.024,0.0,1.0
2024-05-29,1.017,1.017,0.0,1.0
2024-05-30,1.039,1.039,0.0,1.0
2024-05-31,1.035,1.035,0.0,1.0
2024-06-03,1.055,1.055,0.0,1.0
2024-06-04,1.049,1.049,0.0,1.0
2024-06-05,1.046,1.046,0.0,1.0
2024-06-06,1.04,1.04,0.0,1.0
2024-06-07,1.041,1.041,0.0,1.0
2024-06-11,1.094,1.094,0.0,1.0
2024-06-12,1.078,1.078,0.0,1.0
2024-06-13,1.09,1.09,0.0,1.0
2024-06-14,1.086,1.086,0.0,1.0
2024-06-17,1.099,1.099,0.0,1.0
2024-06-18,1.1,1.1,0.0,1.0
2024-06-19,1.102,1.102,0.0,1.0
2024-06-20,1.123,1.123,0.0,1.0
2024-06-21,1.127,1.127,0.0,1.0
2024-06-24,1.088,1.088,0.0,1.0
2024-06-25,1.045,1.045,0.0,1.0
2024-06-26,1.066,1.066,0.0,1.0
2024-06-27,1.044,1.044,0.0,1.0
2024-06-28,1.038,1.038,0.0,1.0
2024-07-01,1.035,1.035,0.0,1.0
2024-07-02,1.023,1.023,0.0,1.0
2024-07-03,1.038,1.038,0.0,1.0
2024-07-04,1.02,1.02,0.0,1.0
2024-07-05,1.026,1.026,0.0,1.0
2024-07-08,1.019,1.019,0.0,1.0
2024-07-09,1.06,1.06,0.0,1.0
2024-07-10,1.061,1.061,0.0,1.0
2024-07-11,1.069,1.069,0.0,1.0
2024-07-12,1.073,1.073,0.0,1.0
2024-07-15,1.08,1.08,0.0,1.0
2024-07-16,1.116,1.116,0.0,1.0
2024-07-17,1.112,1.112,0.0,1.0
2024-07-18,1.118,1.118,0.0,1.0
2024-07-19,1.144,1.144,0.0,1.0
2024-07-22,1.154,1.154,0.0,1.0
2024-07-23,1.112,1.112,0.0,1.0
2024-07-24,1.082,1.082,0.0,1.0
2024-07-25,1.072,1.072,0.0,1.0
2024-07-26,1.081,1.081,0.0,1.0
2024-07-29,1.061,1.061,0.0,1.0
2024-07-30,1.073,1.073,0.0,1.0
2024-07-31,1.144,1.144,0.0,1.0
2024-08-01,1.138,1.138,0.0,1.0
