date,close,total_return_proxy,cumulative_dividend,split_factor
2026-01-05,1.043,1.043,0.0,1.0
2026-01-06,1.053,1.053,0.0,1.0
2026-01-07,1.056,1.056,0.0,1.0
2026-01-08,1.057,1.057,0.0,1.0
2026-01-09,1.085,1.085,0.0,1.0
2026-01-12,1.154,1.154,0.0,1.0
2026-01-13,1.119,1.119,0.0,1.0
2026-01-14,1.152,1.152,0.0,1.0
2026-01-15,1.141,1.141,0.0,1.0
2026-01-16,1.139,1.139,0.0,1.0
2026-01-19,1.118,1.118,0.0,1.0
2026-01-20,1.099,1.099,0.0,1.0
2026-01-21,1.12,1.12,0.0,1.0
2026-01-22,1.149,1.149,0.0,1.0
2026-01-23,1.148,1.148,0.0,1.0
2026-01-26,1.148,1.148,0.0,1.0
2026-01-27,1.168,1.168,0.0,1.0
2026-01-28,1.166,1.166,0.0,1.0
2026-01-29,1.144,1.144,0.0,1.0
2026-01-30,1.165,1.165,0.0,1.0
2026-02-02,1.142,1.142,0.0,1.0
2026-02-03,1.14,1.14,0.0,1.0
2026-02-04,1.101,1.101,0.0,1.0
2026-02-05,1.078,1.078,0.0,1.0
2026-02-06,1.054,1.054,0.0,1.0
2026-02-09,1.104,1.104,0.0,1.0
2026-02-10,1.121,1.121,0.0,1.0
2026-02-11,1.1,1.1,0.0,1.0
2026-02-12,1.13,1.13,0.0,1.0
2026-02-13,1.124,1.124,0.0,1.0
2026-02-24,1.118,1.118,0.0,1.0
2026-02-25,1.112,1.112,0.0,1.0
2026-02-26,1.136,1.136,0.0,1.0
2026-02-27,1.138,1.138,0.0,1.0
2026-03-02,1.126,1.126,0.0,1.0
2026-03-03,1.07,1.07,0.0,1.0
2026-03-04,1.057,1.057,0.0,1.0
2026-03-05,1.078,1.078,0.0,1.0
2026-03-06,1.077,1.077,0.0,1.0
2026-03-09,1.07,1.07,0.0,1.0
2026-03-10,1.092,1.092,0.0,1.0
2026-03-11,1.072,1.072,0.0,1.0
2026-03-12,1.054,1.054,0.0,1.0
2026-03-13,1.04,1.04,0.0,1.0
2026-03-16,1.054,1.054,0.0,1.0
2026-03-17,1.024,1.024,0.0,1.0
2026-03-18,1.066,1.066,0.0,1.0
2026-03-19,1.056,1.056,0.0,1.0
2026-03-20,1.039,1.039,0.0,1.0
2026-03-23,1.002,1.002,0.0,1.0
2026-03-24,1.007,1.007,0.0,1.0
2026-03-25,1.035,1.035,0.0,1.0
2026-03-26,1.01,1.01,0.0,1.0
2026-03-27,1.006,1.006,0.0,1.0
2026-03-30,1.001,1.001,0.0,1.0
2026-03-31,0.978,0.978,0.0,1.0
2026-04-01,1.013,1.013,0.0,1.0
2026-04-02,0.979,0.979,0.0,1.0
2026-04-03,0.984,0.984,0.0,1.0
2026-04-07,0.994,0.994,0.0,1.0
2026-04-08,1.077,1.077,0.0,1.0
2026-04-09,1.062,1.062,0.0,1.0
2026-04-10,1.082,1.082,0.0,1.0
2026-04-13,1.088,1.088,0.0,1.0
2026-04-14,1.121,1.121,0.0,1.0
2026-04-15,1.114,1.114,0.0,1.0
2026-04-16,1.153,1.153,0.0,1.0
2026-04-17,1.172,1.172,0.0,1.0
2026-04-20,1.19,1.19,0.0,1.0
2026-04-21,1.178,1.178,0.0,1.0
2026-04-22,1.223,1.223,0.0,1.0
2026-04-23,1.205,1.205,0.0,1.0
2026-04-24,1.187,1.187,0.0,1.0
2026-04-27,1.202,1.202,0.0,1.0
2026-04-28,1.177,1.177,0.0,1.0
2026-04-29,1.193,1.193,0.0,1.0
2026-04-30,1.23,1.23,0.0,1.0
2026-05-06,1.291,1.291,0.0,1.0
2026-05-07,1.331,1.331,0.0,1.0
2026-05-08,1.318,1.318,0.0,1.0
2026-05-11,1.371,1.371,0.0,1.0
2026-05-12,1.376,1.376,0.0,1.0
2026-05-13,1.438,1.438,0.0,1.0
2026-05-14,1.412,1.412,0.0,1.0
2026-05-15,1.376,1.376,0.0,1.0
2026-05-18,1.381,1.381,0.0,1.0
2026-05-19,1.403,1.403,0.0,1.0
2026-05-20,1.412,1.412,0.0,1.0
2026-05-21,1.359,1.359,0.0,1.0
2026-05-22,1.397,1.397,0.0,1.0
2026-05-25,1.448,1.448,0.0,1.0
2026-05-26,1.433,1.433,0.0,1.0
2026-05-27,1.403,1.403,0.0,1.0
2026-05-28,1.425,1.425,0.0,1.0
2026-05-29,1.37,1.37,0.0,1.0
2026-06-01,1.328,1.328,0.0,1.0
2026-06-02,1.359,1.359,0.0,1.0
2026-06-03,1.408,1.408,0.0,1.0
2026-06-04,1.403,1.403,0.0,1.0
2026-06-05,1.346,1.346,0.0,1.0
2026-06-08,1.299,1.299,0.0,1.0
2026-06-09,1.349,1.349,0.0,1.0
2026-06-10,1.318,1.318,0.0,1.0
2026-06-11,1.284,1.284,0.0,1.0
2026-06-12,1.282,1.282,0.0,1.0
2026-06-15,1.354,1.354,0.0,1.0
2026-06-16,1.36,1.36,0.0,1.0
2026-06-17,1.4,1.4,0.0,1.0
2026-06-18,1.479,1.479,0.0,1.0
2026-06-22,1.494,1.494,0.0,1.0
2026-06-23,1.443,1.443,0.0,1.0
2026-06-24,1.482,1.482,0.0,1.0
2026-06-25,1.539,1.539,0.0,1.0
2026-06-26,1.48,1.48,0.0,1.0
2026-06-29,1.501,1.501,0.0,1.0
2026-06-30,1.581,1.581,0.0,1.0
2026-07-01,1.55,1.55,0.0,1.0
2026-07-02,1.434,1.434,0.0,1.0
2026-07-03,1.442,1.442,0.0,1.0
2026-07-06,1.423,1.423,0.0,1.0
2026-07-07,1.409,1.409,0.0,1.0
2026-07-08,1.428,1.428,0.0,1.0
2026-07-09,1.516,1.516,0.0,1.0
2026-07-10,1.461,1.461,0.0,1.0
2026-07-13,1.404,1.404,0.0,1.0
2026-07-14,1.43,1.43,0.0,1.0
2026-07-15,1.385,1.385,0.0,1.0
2026-07-16,1.33,1.33,0.0,1.0
2026-07-17,1.212,1.212,0.0,1.0
