date,close,total_return_proxy,cumulative_dividend,split_factor
2025-07-25,1.006,1.006,0.0,1.0
2025-07-28,1.011,1.011,0.0,1.0
2025-07-29,1.013,1.013,0.0,1.0
2025-07-30,0.998,0.998,0.0,1.0
2025-07-31,0.989,0.989,0.0,1.0
2025-08-01,0.986,0.986,0.0,1.0
2025-08-04,0.991,0.991,0.0,1.0
2025-08-05,0.998,0.998,0.0,1.0
2025-08-06,1.003,1.003,0.0,1.0
2025-08-07,0.999,0.999,0.0,1.0
2025-08-08,0.986,0.986,0.0,1.0
2025-08-11,0.988,0.988,0.0,1.0
2025-08-12,0.984,0.984,0.0,1.0
2025-08-13,1.011,1.011,0.0,1.0
2025-08-14,1.008,1.008,0.0,1.0
2025-08-15,1.012,1.012,0.0,1.0
2025-08-18,1.03,1.03,0.0,1.0
2025-08-19,1.02,1.02,0.0,1.0
2025-08-20,1.018,1.018,0.0,1.0
2025-08-21,1.006,1.006,0.0,1.0
2025-08-22,1.031,1.031,0.0,1.0
2025-08-25,1.057,1.057,0.0,1.0
2025-08-26,1.048,1.048,0.0,1.0
2025-08-27,1.032,1.032,0.0,1.0
2025-08-28,1.019,1.019,0.0,1.0
2025-08-29,1.028,1.028,0.0,1.0
2025-09-01,1.043,1.043,0.0,1.0
2025-09-02,1.039,1.039,0.0,1.0
2025-09-03,1.03,1.03,0.0,1.0
2025-09-04,1.007,1.007,0.0,1.0
2025-09-05,1.031,1.031,0.0,1.0
2025-09-08,1.033,1.033,0.0,1.0
2025-09-09,1.042,1.042,0.0,1.0
2025-09-10,1.048,1.048,0.0,1.0
2025-09-11,1.05,1.05,0.0,1.0
2025-09-12,1.059,1.059,0.0,1.0
2025-09-15,1.067,1.067,0.0,1.0
2025-09-16,1.073,1.073,0.0,1.0
2025-09-17,1.107,1.107,0.0,1.0
2025-09-18,1.09,1.09,0.0,1.0
2025-09-19,1.092,1.092,0.0,1.0
2025-09-22,1.103,1.103,0.0,1.0
2025-09-23,1.089,1.089,0.0,1.0
2025-09-24,1.113,1.113,0.0,1.0
2025-09-25,1.126,1.126,0.0,1.0
2025-09-26,1.109,1.109,0.0,1.0
2025-09-29,1.119,1.119,0.0,1.0
2025-09-30,1.147,1.147,0.0,1.0
2025-10-09,1.147,1.147,0.0,1.0
2025-10-10,1.11,1.11,0.0,1.0
2025-10-13,1.078,1.078,0.0,1.0
2025-10-14,1.044,1.044,0.0,1.0
2025-10-15,1.073,1.073,0.0,1.0
2025-10-16,1.061,1.061,0.0,1.0
2025-10-17,1.024,1.024,0.0,1.0
2025-10-20,1.041,1.041,0.0,1.0
2025-10-21,1.066,1.066,0.0,1.0
2025-10-22,1.045,1.045,0.0,1.0
2025-10-23,1.048,1.048,0.0,1.0
2025-10-24,1.06,1.06,0.0,1.0
2025-10-27,1.081,1.081,0.0,1.0
2025-10-28,1.066,1.066,0.0,1.0
2025-10-29,1.074,1.074,0.0,1.0
2025-10-30,1.05,1.05,0.0,1.0
2025-10-31,1.043,1.043,0.0,1.0
2025-11-03,1.044,1.044,0.0,1.0
2025-11-04,1.025,1.025,0.0,1.0
2025-11-05,1.016,1.016,0.0,1.0
2025-11-06,1.035,1.035,0.0,1.0
2025-11-07,1.017,1.017,0.0,1.0
2025-11-10,1.031,1.031,0.0,1.0
2025-11-11,1.029,1.029,0.0,1.0
2025-11-12,1.034,1.034,0.0,1.0
2025-11-13,1.048,1.048,0.0,1.0
2025-11-14,1.02,1.02,0.0,1.0
2025-11-17,1.005,1.005,0.0,1.0
2025-11-18,0.989,0.989,0.0,1.0
2025-11-19,0.981,0.981,0.0,1.0
2025-11-20,0.973,0.973,0.0,1.0
2025-11-21,0.95,0.95,0.0,1.0
2025-11-24,0.967,0.967,0.0,1.0
2025-11-25,0.976,0.976,0.0,1.0
2025-11-26,0.986,0.986,0.0,1.0
2025-11-27,0.979,0.979,0.0,1.0
2025-11-28,0.979,0.979,0.0,1.0
2025-12-01,0.98,0.98,0.0,1.0
2025-12-02,0.974,0.974,0.0,1.0
2025-12-03,0.957,0.957,0.0,1.0
2025-12-04,0.972,0.972,0.0,1.0
2025-12-05,0.979,0.979,0.0,1.0
2025-12-08,0.977,0.977,0.0,1.0
2025-12-09,0.96,0.96,0.0,1.0
2025-12-10,0.96,0.96,0.0,1.0
2025-12-11,0.951,0.951,0.0,1.0
2025-12-12,0.965,0.965,0.0,1.0
2025-12-15,0.939,0.939,0.0,1.0
2025-12-16,0.92,0.92,0.0,1.0
2025-12-17,0.931,0.931,0.0,1.0
2025-12-18,0.92,0.92,0.0,1.0
2025-12-19,0.937,0.937,0.0,1.0
2025-12-22,0.938,0.938,0.0,1.0
2025-12-23,0.933,0.933,0.0,1.0
2025-12-24,0.932,0.932,0.0,1.0
2025-12-25,0.93,0.93,0.0,1.0
