date,close,total_return_proxy,cumulative_dividend,split_factor
2022-07-21,0.972,0.972,0.0,1.0
2022-07-22,0.974,0.974,0.0,1.0
2022-07-25,0.958,0.958,0.0,1.0
2022-07-26,0.971,0.971,0.0,1.0
2022-07-27,0.975,0.975,0.0,1.0
2022-07-28,0.973,0.973,0.0,1.0
2022-07-29,0.965,0.965,0.0,1.0
2022-08-01,0.979,0.979,0.0,1.0
2022-08-02,0.956,0.956,0.0,1.0
2022-08-03,0.934,0.934,0.0,1.0
2022-08-04,0.933,0.933,0.0,1.0
2022-08-05,0.943,0.943,0.0,1.0
2022-08-08,0.948,0.948,0.0,1.0
2022-08-09,0.958,0.958,0.0,1.0
2022-08-10,0.95,0.95,0.0,1.0
2022-08-11,0.961,0.961,0.0,1.0
2022-08-12,0.957,0.957,0.0,1.0
2022-08-15,0.975,0.975,0.0,1.0
2022-08-16,0.978,0.978,0.0,1.0
2022-08-17,0.985,0.985,0.0,1.0
2022-08-18,0.981,0.981,0.0,1.0
2022-08-19,0.966,0.966,0.0,1.0
2022-08-22,0.977,0.977,0.0,1.0
2022-08-23,0.978,0.978,0.0,1.0
2022-08-24,0.949,0.949,0.0,1.0
2022-08-25,0.947,0.947,0.0,1.0
2022-08-26,0.943,0.943,0.0,1.0
2022-08-29,0.939,0.939,0.0,1.0
2022-08-30,0.931,0.931,0.0,1.0
2022-08-31,0.906,0.906,0.0,1.0
2022-09-01,0.899,0.899,0.0,1.0
2022-09-02,0.893,0.893,0.0,1.0
2022-09-05,0.894,0.894,0.0,1.0
2022-09-06,0.914,0.914,0.0,1.0
2022-09-07,0.925,0.925,0.0,1.0
2022-09-08,0.917,0.917,0.0,1.0
2022-09-09,0.922,0.922,0.0,1.0
2022-09-13,0.922,0.922,0.0,1.0
2022-09-14,0.907,0.907,0.0,1.0
2022-09-15,0.879,0.879,0.0,1.0
2022-09-16,0.858,0.858,0.0,1.0
2022-09-19,0.858,0.858,0.0,1.0
2022-09-20,0.875,0.875,0.0,1.0
2022-09-21,0.867,0.867,0.0,1.0
2022-09-22,0.863,0.863,0.0,1.0
2022-09-23,0.855,0.855,0.0,1.0
2022-09-26,0.854,0.854,0.0,1.0
2022-09-27,0.856,0.856,0.0,1.0
2022-09-28,0.831,0.831,0.0,1.0
2022-09-29,0.838,0.838,0.0,1.0
2022-09-30,0.821,0.821,0.0,1.0
2022-10-10,0.808,0.808,0.0,1.0
2022-10-11,0.822,0.822,0.0,1.0
2022-10-12,0.842,0.842,0.0,1.0
2022-10-13,0.835,0.835,0.0,1.0
2022-10-14,0.858,0.858,0.0,1.0
2022-10-17,0.852,0.852,0.0,1.0
2022-10-18,0.851,0.851,0.0,1.0
2022-10-19,0.841,0.841,0.0,1.0
2022-10-20,0.827,0.827,0.0,1.0
2022-10-21,0.824,0.824,0.0,1.0
2022-10-24,0.809,0.809,0.0,1.0
2022-10-25,0.818,0.818,0.0,1.0
2022-10-26,0.824,0.824,0.0,1.0
2022-10-27,0.819,0.819,0.0,1.0
2022-10-28,0.79,0.79,0.0,1.0
2022-10-31,0.781,0.781,0.0,1.0
2022-11-01,0.807,0.807,0.0,1.0
2022-11-02,0.822,0.822,0.0,1.0
2022-11-03,0.816,0.816,0.0,1.0
2022-11-04,0.849,0.849,0.0,1.0
2022-11-07,0.853,0.853,0.0,1.0
2022-11-08,0.852,0.852,0.0,1.0
2022-11-09,0.842,0.842,0.0,1.0
2022-11-10,0.827,0.827,0.0,1.0
2022-11-11,0.85,0.85,0.0,1.0
2022-11-14,0.838,0.838,0.0,1.0
2022-11-15,0.849,0.849,0.0,1.0
2022-11-16,0.838,0.838,0.0,1.0
2022-11-17,0.831,0.831,0.0,1.0
2022-11-18,0.827,0.827,0.0,1.0
2022-11-21,0.829,0.829,0.0,1.0
2022-11-22,0.82,0.82,0.0,1.0
2022-11-23,0.829,0.829,0.0,1.0
2022-11-24,0.83,0.83,0.0,1.0
2022-11-25,0.824,0.824,0.0,1.0
2022-11-28,0.819,0.819,0.0,1.0
2022-11-29,0.828,0.828,0.0,1.0
2022-11-30,0.83,0.83,0.0,1.0
2022-12-01,0.843,0.843,0.0,1.0
2022-12-02,0.839,0.839,0.0,1.0
2022-12-05,0.845,0.845,0.0,1.0
2022-12-06,0.847,0.847,0.0,1.0
2022-12-07,0.849,0.849,0.0,1.0
2022-12-08,0.851,0.851,0.0,1.0
2022-12-09,0.855,0.855,0.0,1.0
2022-12-12,0.84,0.84,0.0,1.0
2022-12-13,0.833,0.833,0.0,1.0
2022-12-14,0.829,0.829,0.0,1.0
2022-12-15,0.836,0.836,0.0,1.0
2022-12-16,0.831,0.831,0.0,1.0
2022-12-19,0.825,0.825,0.0,1.0
2022-12-20,0.815,0.815,0.0,1.0
2022-12-21,0.809,0.809,0.0,1.0
2022-12-22,0.798,0.798,0.0,1.0
2022-12-23,0.79,0.79,0.0,1.0
2022-12-26,0.805,0.805,0.0,1.0
2022-12-27,0.813,0.813,0.0,1.0
2022-12-28,0.809,0.809,0.0,1.0
2022-12-29,0.805,0.805,0.0,1.0
2022-12-30,0.806,0.806,0.0,1.0
2023-01-03,0.815,0.815,0.0,1.0
2023-01-04,0.804,0.804,0.0,1.0
2023-01-05,0.817,0.817,0.0,1.0
2023-01-06,0.835,0.835,0.0,1.0
2023-01-09,0.84,0.84,0.0,1.0
2023-01-10,0.844,0.844,0.0,1.0
2023-01-11,0.841,0.841,0.0,1.0
2023-01-12,0.847,0.847,0.0,1.0
2023-01-13,0.852,0.852,0.0,1.0
2023-01-16,0.857,0.857,0.0,1.0
2023-01-17,0.858,0.858,0.0,1.0
2023-01-18,0.861,0.861,0.0,1.0
2023-01-19,0.862,0.862,0.0,1.0
2023-01-20,0.88,0.88,0.0,1.0
2023-01-30,0.89,0.89,0.0,1.0
2023-01-31,0.892,0.892,0.0,1.0
2023-02-01,0.906,0.906,0.0,1.0
2023-02-02,0.902,0.902,0.0,1.0
2023-02-03,0.887,0.887,0.0,1.0
2023-02-06,0.874,0.874,0.0,1.0
2023-02-07,0.879,0.879,0.0,1.0
2023-02-08,0.874,0.874,0.0,1.0
2023-02-09,0.88,0.88,0.0,1.0
2023-02-10,0.873,0.873,0.0,1.0
2023-02-13,0.879,0.879,0.0,1.0
2023-02-14,0.881,0.881,0.0,1.0
2023-02-15,0.876,0.876,0.0,1.0
2023-02-16,0.863,0.863,0.0,1.0
2023-02-17,0.851,0.851,0.0,1.0
2023-02-20,0.866,0.866,0.0,1.0
2023-02-21,0.875,0.875,0.0,1.0
2023-02-22,0.866,0.866,0.0,1.0
2023-02-23,0.871,0.871,0.0,1.0
2023-02-24,0.86,0.86,0.0,1.0
2023-02-27,0.854,0.854,0.0,1.0
2023-02-28,0.858,0.858,0.0,1.0
2023-03-01,0.866,0.866,0.0,1.0
2023-03-02,0.864,0.864,0.0,1.0
2023-03-03,0.864,0.864,0.0,1.0
2023-03-06,0.867,0.867,0.0,1.0
2023-03-07,0.858,0.858,0.0,1.0
2023-03-08,0.85,0.85,0.0,1.0
2023-03-09,0.849,0.849,0.0,1.0
2023-03-10,0.837,0.837,0.0,1.0
2023-03-13,0.838,0.838,0.0,1.0
2023-03-14,0.831,0.831,0.0,1.0
2023-03-15,0.834,0.834,0.0,1.0
2023-03-16,0.812,0.812,0.0,1.0
2023-03-17,0.813,0.813,0.0,1.0
2023-03-20,0.813,0.813,0.0,1.0
2023-03-21,0.821,0.821,0.0,1.0
2023-03-22,0.822,0.822,0.0,1.0
2023-03-23,0.824,0.824,0.0,1.0
2023-03-24,0.822,0.822,0.0,1.0
2023-03-27,0.822,0.822,0.0,1.0
2023-03-28,0.82,0.82,0.0,1.0
2023-03-29,0.822,0.822,0.0,1.0
2023-03-30,0.832,0.832,0.0,1.0
2023-03-31,0.833,0.833,0.0,1.0
2023-04-03,0.832,0.832,0.0,1.0
2023-04-04,0.825,0.825,0.0,1.0
2023-04-06,0.828,0.828,0.0,1.0
2023-04-07,0.829,0.829,0.0,1.0
2023-04-10,0.839,0.839,0.0,1.0
2023-04-11,0.844,0.844,0.0,1.0
2023-04-12,0.839,0.839,0.0,1.0
2023-04-13,0.832,0.832,0.0,1.0
2023-04-14,0.845,0.845,0.0,1.0
2023-04-17,0.852,0.852,0.0,1.0
2023-04-18,0.853,0.853,0.0,1.0
2023-04-19,0.848,0.848,0.0,1.0
2023-04-20,0.832,0.832,0.0,1.0
2023-04-21,0.824,0.824,0.0,1.0
2023-04-24,0.811,0.811,0.0,1.0
2023-04-25,0.794,0.794,0.0,1.0
2023-04-26,0.811,0.811,0.0,1.0
2023-04-27,0.818,0.818,0.0,1.0
2023-04-28,0.819,0.819,0.0,1.0
2023-05-04,0.816,0.816,0.0,1.0
2023-05-05,0.807,0.807,0.0,1.0
2023-05-08,0.814,0.814,0.0,1.0
2023-05-09,0.805,0.805,0.0,1.0
2023-05-10,0.811,0.811,0.0,1.0
2023-05-11,0.814,0.814,0.0,1.0
2023-05-12,0.801,0.801,0.0,1.0
2023-05-15,0.812,0.812,0.0,1.0
2023-05-16,0.812,0.812,0.0,1.0
2023-05-17,0.809,0.809,0.0,1.0
2023-05-18,0.803,0.803,0.0,1.0
2023-05-19,0.797,0.797,0.0,1.0
2023-05-22,0.803,0.803,0.0,1.0
2023-05-23,0.794,0.794,0.0,1.0
2023-05-24,0.79,0.79,0.0,1.0
2023-05-25,0.788,0.788,0.0,1.0
2023-05-26,0.782,0.782,0.0,1.0
2023-05-29,0.774,0.774,0.0,1.0
2023-05-30,0.776,0.776,0.0,1.0
2023-05-31,0.77,0.77,0.0,1.0
2023-06-01,0.77,0.77,0.0,1.0
2023-06-02,0.783,0.783,0.0,1.0
2023-06-05,0.773,0.773,0.0,1.0
2023-06-06,0.768,0.768,0.0,1.0
2023-06-07,0.758,0.758,0.0,1.0
2023-06-08,0.762,0.762,0.0,1.0
2023-06-09,0.767,0.767,0.0,1.0
2023-06-12,0.768,0.768,0.0,1.0
2023-06-13,0.767,0.767,0.0,1.0
2023-06-14,0.766,0.766,0.0,1.0
2023-06-15,0.792,0.792,0.0,1.0
2023-06-16,0.796,0.796,0.0,1.0
2023-06-19,0.789,0.789,0.0,1.0
2023-06-20,0.787,0.787,0.0,1.0
2023-06-21,0.781,0.781,0.0,1.0
2023-06-26,0.777,0.777,0.0,1.0
2023-06-27,0.784,0.784,0.0,1.0
2023-06-28,0.787,0.787,0.0,1.0
2023-06-29,0.781,0.781,0.0,1.0
2023-06-30,0.788,0.788,0.0,1.0
2023-07-03,0.797,0.797,0.0,1.0
2023-07-04,0.796,0.796,0.0,1.0
2023-07-05,0.792,0.792,0.0,1.0
2023-07-06,0.785,0.785,0.0,1.0
2023-07-07,0.78,0.78,0.0,1.0
2023-07-10,0.792,0.792,0.0,1.0
2023-07-11,0.795,0.795,0.0,1.0
2023-07-12,0.797,0.797,0.0,1.0
