date,close,total_return_proxy,cumulative_dividend,split_factor
2021-07-07,1.019,1.019,0.0,1.0
2021-07-08,1.005,1.005,0.0,1.0
2021-07-09,1.008,1.008,0.0,1.0
2021-07-12,1.044,1.044,0.0,1.0
2021-07-13,1.051,1.051,0.0,1.0
2021-07-14,1.068,1.068,0.0,1.0
2021-07-15,1.071,1.071,0.0,1.0
2021-07-16,1.062,1.062,0.0,1.0
2021-07-19,1.081,1.081,0.0,1.0
2021-07-20,1.084,1.084,0.0,1.0
2021-07-21,1.102,1.102,0.0,1.0
2021-07-22,1.064,1.064,0.0,1.0
2021-07-23,1.03,1.03,0.0,1.0
2021-07-26,0.974,0.974,0.0,1.0
2021-07-27,0.955,0.955,0.0,1.0
2021-07-28,0.982,0.982,0.0,1.0
2021-07-29,1.01,1.01,0.0,1.0
2021-07-30,1.01,1.01,0.0,1.0
2021-08-02,1.021,1.021,0.0,1.0
2021-08-03,1.074,1.074,0.0,1.0
2021-08-04,1.074,1.074,0.0,1.0
2021-08-05,1.072,1.072,0.0,1.0
2021-08-06,1.024,1.024,0.0,1.0
2021-08-09,1.02,1.02,0.0,1.0
2021-08-10,1.026,1.026,0.0,1.0
2021-08-11,1.002,1.002,0.0,1.0
2021-08-12,0.99,0.99,0.0,1.0
2021-08-13,0.984,0.984,0.0,1.0
2021-08-16,0.975,0.975,0.0,1.0
2021-08-17,0.935,0.935,0.0,1.0
2021-08-18,0.936,0.936,0.0,1.0
2021-08-19,0.946,0.946,0.0,1.0
2021-08-20,0.905,0.905,0.0,1.0
2021-08-23,0.931,0.931,0.0,1.0
2021-08-24,0.949,0.949,0.0,1.0
2021-08-25,0.953,0.953,0.0,1.0
2021-08-26,0.92,0.92,0.0,1.0
2021-08-27,0.919,0.919,0.0,1.0
2021-08-30,0.92,0.92,0.0,1.0
2021-08-31,0.904,0.904,0.0,1.0
2021-09-01,0.911,0.911,0.0,1.0
2021-09-02,0.874,0.874,0.0,1.0
2021-09-03,0.869,0.869,0.0,1.0
2021-09-06,0.916,0.916,0.0,1.0
2021-09-07,0.912,0.912,0.0,1.0
2021-09-08,0.908,0.908,0.0,1.0
2021-09-09,0.906,0.906,0.0,1.0
2021-09-10,0.902,0.902,0.0,1.0
2021-09-13,0.896,0.896,0.0,1.0
2021-09-14,0.903,0.903,0.0,1.0
2021-09-15,0.893,0.893,0.0,1.0
2021-09-16,0.888,0.888,0.0,1.0
2021-09-17,0.934,0.934,0.0,1.0
2021-09-22,0.928,0.928,0.0,1.0
2021-09-23,0.925,0.925,0.0,1.0
2021-09-24,0.924,0.924,0.0,1.0
2021-09-27,0.936,0.936,0.0,1.0
2021-09-28,0.933,0.933,0.0,1.0
2021-09-29,0.917,0.917,0.0,1.0
2021-09-30,0.93,0.93,0.0,1.0
2021-10-08,0.916,0.916,0.0,1.0
2021-10-11,0.896,0.896,0.0,1.0
2021-10-12,0.892,0.892,0.0,1.0
2021-10-13,0.91,0.91,0.0,1.0
2021-10-14,0.905,0.905,0.0,1.0
2021-10-15,0.899,0.899,0.0,1.0
2021-10-18,0.883,0.883,0.0,1.0
2021-10-19,0.903,0.903,0.0,1.0
2021-10-20,0.891,0.891,0.0,1.0
2021-10-21,0.888,0.888,0.0,1.0
2021-10-22,0.892,0.892,0.0,1.0
2021-10-25,0.893,0.893,0.0,1.0
2021-10-26,0.884,0.884,0.0,1.0
2021-10-27,0.865,0.865,0.0,1.0
2021-10-28,0.866,0.866,0.0,1.0
2021-10-29,0.88,0.88,0.0,1.0
2021-11-01,0.851,0.851,0.0,1.0
2021-11-02,0.839,0.839,0.0,1.0
2021-11-03,0.847,0.847,0.0,1.0
2021-11-04,0.841,0.841,0.0,1.0
2021-11-05,0.838,0.838,0.0,1.0
2021-11-08,0.814,0.814,0.0,1.0
2021-11-09,0.821,0.821,0.0,1.0
2021-11-10,0.846,0.846,0.0,1.0
2021-11-11,0.841,0.841,0.0,1.0
2021-11-12,0.839,0.839,0.0,1.0
2021-11-15,0.856,0.856,0.0,1.0
2021-11-16,0.891,0.891,0.0,1.0
2021-11-17,0.888,0.888,0.0,1.0
2021-11-18,0.876,0.876,0.0,1.0
2021-11-19,0.877,0.877,0.0,1.0
2021-11-22,0.865,0.865,0.0,1.0
2021-11-23,0.871,0.871,0.0,1.0
2021-11-24,0.887,0.887,0.0,1.0
2021-11-25,0.891,0.891,0.0,1.0
2021-11-26,0.89,0.89,0.0,1.0
2021-11-29,0.904,0.904,0.0,1.0
2021-11-30,0.9,0.9,0.0,1.0
2021-12-01,0.882,0.882,0.0,1.0
2021-12-02,0.871,0.871,0.0,1.0
2021-12-03,0.874,0.874,0.0,1.0
2021-12-06,0.851,0.851,0.0,1.0
2021-12-07,0.855,0.855,0.0,1.0
2021-12-08,0.868,0.868,0.0,1.0
2021-12-09,0.887,0.887,0.0,1.0
2021-12-10,0.882,0.882,0.0,1.0
2021-12-13,0.877,0.877,0.0,1.0
2021-12-14,0.881,0.881,0.0,1.0
2021-12-15,0.854,0.854,0.0,1.0
2021-12-16,0.86,0.86,0.0,1.0
2021-12-17,0.851,0.851,0.0,1.0
2021-12-20,0.831,0.831,0.0,1.0
2021-12-21,0.834,0.834,0.0,1.0
2021-12-22,0.828,0.828,0.0,1.0
2021-12-23,0.819,0.819,0.0,1.0
2021-12-24,0.82,0.82,0.0,1.0
2021-12-27,0.823,0.823,0.0,1.0
2021-12-28,0.829,0.829,0.0,1.0
2021-12-29,0.82,0.82,0.0,1.0
2021-12-30,0.823,0.823,0.0,1.0
2021-12-31,0.821,0.821,0.0,1.0
2022-01-04,0.797,0.797,0.0,1.0
2022-01-05,0.784,0.784,0.0,1.0
2022-01-06,0.777,0.777,0.0,1.0
2022-01-07,0.777,0.777,0.0,1.0
2022-01-10,0.79,0.79,0.0,1.0
2022-01-11,0.793,0.793,0.0,1.0
2022-01-12,0.804,0.804,0.0,1.0
2022-01-13,0.794,0.794,0.0,1.0
2022-01-14,0.8,0.8,0.0,1.0
2022-01-17,0.796,0.796,0.0,1.0
2022-01-18,0.789,0.789,0.0,1.0
2022-01-19,0.765,0.765,0.0,1.0
2022-01-20,0.75,0.75,0.0,1.0
2022-01-21,0.732,0.732,0.0,1.0
2022-01-24,0.73,0.73,0.0,1.0
2022-01-25,0.712,0.712,0.0,1.0
2022-01-26,0.701,0.701,0.0,1.0
2022-01-27,0.691,0.691,0.0,1.0
2022-01-28,0.687,0.687,0.0,1.0
2022-02-07,0.698,0.698,0.0,1.0
2022-02-08,0.69,0.69,0.0,1.0
2022-02-09,0.696,0.696,0.0,1.0
2022-02-10,0.686,0.686,0.0,1.0
