date,close,total_return_proxy,cumulative_dividend,split_factor
2011-09-27,0.943,0.943,0.0,1.0
2011-09-28,0.935,0.935,0.0,1.0
2011-09-29,0.928,0.928,0.0,1.0
2011-09-30,0.925,0.925,0.0,1.0
2011-10-10,0.92,0.92,0.0,1.0
2011-10-11,0.914,0.914,0.0,1.0
2011-10-12,0.947,0.947,0.0,1.0
2011-10-13,0.957,0.957,0.0,1.0
2011-10-14,0.95,0.95,0.0,1.0
2011-10-17,0.955,0.955,0.0,1.0
2011-10-18,0.931,0.931,0.0,1.0
2011-10-19,0.92,0.92,0.0,1.0
2011-10-20,0.898,0.898,0.0,1.0
2011-10-21,0.86,0.86,0.0,1.0
2011-10-24,0.901,0.901,0.0,1.0
2011-10-25,0.921,0.921,0.0,1.0
2011-10-26,0.94,0.94,0.0,1.0
2011-10-27,0.935,0.935,0.0,1.0
2011-10-28,0.955,0.955,0.0,1.0
2011-10-31,0.952,0.952,0.0,1.0
2011-11-01,0.952,0.952,0.0,1.0
2011-11-02,0.958,0.958,0.0,1.0
2011-11-03,0.963,0.963,0.0,1.0
2011-11-04,0.969,0.969,0.0,1.0
2011-11-07,0.961,0.961,0.0,1.0
2011-11-08,0.958,0.958,0.0,1.0
2011-11-09,0.962,0.962,0.0,1.0
2011-11-10,0.951,0.951,0.0,1.0
2011-11-11,0.948,0.948,0.0,1.0
2011-11-14,0.966,0.966,0.0,1.0
2011-11-15,0.964,0.964,0.0,1.0
2011-11-16,0.94,0.94,0.0,1.0
2011-11-17,0.94,0.94,0.0,1.0
2011-11-18,0.915,0.915,0.0,1.0
2011-11-21,0.911,0.911,0.0,1.0
2011-11-22,0.914,0.914,0.0,1.0
2011-11-23,0.908,0.908,0.0,1.0
2011-11-24,0.904,0.904,0.0,1.0
2011-11-25,0.9,0.9,0.0,1.0
2011-11-28,0.902,0.902,0.0,1.0
2011-11-29,0.911,0.911,0.0,1.0
2011-11-30,0.879,0.879,0.0,1.0
2011-12-01,0.903,0.903,0.0,1.0
2011-12-02,0.888,0.888,0.0,1.0
2011-12-05,0.871,0.871,0.0,1.0
2011-12-06,0.868,0.868,0.0,1.0
2011-12-07,0.869,0.869,0.0,1.0
2011-12-08,0.873,0.873,0.0,1.0
2011-12-09,0.863,0.863,0.0,1.0
2011-12-12,0.851,0.851,0.0,1.0
2011-12-13,0.83,0.83,0.0,1.0
