date,close,total_return_proxy,cumulative_dividend,split_factor
2019-12-16,0.974,0.974,0.0,1.0
2019-12-17,0.987,0.987,0.0,1.0
2019-12-18,0.984,0.984,0.0,1.0
2019-12-19,0.986,0.986,0.0,1.0
2019-12-20,0.983,0.983,0.0,1.0
2019-12-23,0.97,0.97,0.0,1.0
2019-12-24,0.976,0.976,0.0,1.0
2019-12-25,0.977,0.977,0.0,1.0
2019-12-26,0.985,0.985,0.0,1.0
2019-12-27,0.983,0.983,0.0,1.0
2019-12-30,0.995,0.995,0.0,1.0
2019-12-31,1.003,1.003,0.0,1.0
2020-01-02,1.014,1.014,0.0,1.0
2020-01-03,1.014,1.014,0.0,1.0
2020-01-06,1.015,1.015,0.0,1.0
2020-01-07,1.026,1.026,0.0,1.0
2020-01-08,1.012,1.012,0.0,1.0
2020-01-09,1.026,1.026,0.0,1.0
2020-01-10,1.022,1.022,0.0,1.0
2020-01-13,1.033,1.033,0.0,1.0
2020-01-14,1.028,1.028,0.0,1.0
2020-01-15,1.024,1.024,0.0,1.0
2020-01-16,1.022,1.022,0.0,1.0
2020-01-17,1.019,1.019,0.0,1.0
2020-01-20,1.029,1.029,0.0,1.0
2020-01-21,1.014,1.014,0.0,1.0
2020-01-22,1.017,1.017,0.0,1.0
2020-01-23,0.989,0.989,0.0,1.0
2020-02-03,0.89,0.89,0.0,1.0
2020-02-04,0.927,0.927,0.0,1.0
2020-02-05,0.938,0.938,0.0,1.0
2020-02-06,0.955,0.955,0.0,1.0
2020-02-07,0.958,0.958,0.0,1.0
2020-02-10,0.963,0.963,0.0,1.0
2020-02-11,0.969,0.969,0.0,1.0
2020-02-12,0.978,0.978,0.0,1.0
2020-02-13,0.975,0.975,0.0,1.0
2020-02-14,0.981,0.981,0.0,1.0
2020-02-17,1.002,1.002,0.0,1.0
2020-02-18,1.002,1.002,0.0,1.0
2020-02-19,1.001,1.001,0.0,1.0
2020-02-20,1.023,1.023,0.0,1.0
2020-02-21,1.027,1.027,0.0,1.0
2020-02-24,1.03,1.03,0.0,1.0
2020-02-25,1.03,1.03,0.0,1.0
2020-02-26,1.015,1.015,0.0,1.0
2020-02-27,1.015,1.015,0.0,1.0
2020-02-28,0.977,0.977,0.0,1.0
2020-03-02,1.004,1.004,0.0,1.0
2020-03-03,1.009,1.009,0.0,1.0
2020-03-04,1.015,1.015,0.0,1.0
2020-03-05,1.035,1.035,0.0,1.0
2020-03-06,1.026,1.026,0.0,1.0
2020-03-09,0.995,0.995,0.0,1.0
2020-03-10,1.008,1.008,0.0,1.0
2020-03-11,0.997,0.997,0.0,1.0
2020-03-12,0.979,0.979,0.0,1.0
2020-03-13,0.973,0.973,0.0,1.0
2020-03-16,0.925,0.925,0.0,1.0
2020-03-17,0.921,0.921,0.0,1.0
2020-03-18,0.904,0.904,0.0,1.0
2020-03-19,0.898,0.898,0.0,1.0
2020-03-20,0.911,0.911,0.0,1.0
2020-03-23,0.881,0.881,0.0,1.0
2020-03-24,0.9,0.9,0.0,1.0
2020-03-25,0.924,0.924,0.0,1.0
2020-03-26,0.918,0.918,0.0,1.0
2020-03-27,0.918,0.918,0.0,1.0
2020-03-30,0.908,0.908,0.0,1.0
2020-03-31,0.906,0.906,0.0,1.0
2020-04-01,0.903,0.903,0.0,1.0
2020-04-02,0.922,0.922,0.0,1.0
2020-04-03,0.915,0.915,0.0,1.0
2020-04-07,0.937,0.937,0.0,1.0
2020-04-08,0.936,0.936,0.0,1.0
2020-04-09,0.94,0.94,0.0,1.0
2020-04-10,0.933,0.933,0.0,1.0
2020-04-13,0.926,0.926,0.0,1.0
2020-04-14,0.943,0.943,0.0,1.0
2020-04-15,0.938,0.938,0.0,1.0
2020-04-16,0.943,0.943,0.0,1.0
2020-04-17,0.948,0.948,0.0,1.0
2020-04-20,0.953,0.953,0.0,1.0
2020-04-21,0.944,0.944,0.0,1.0
2020-04-22,0.951,0.951,0.0,1.0
2020-04-23,0.949,0.949,0.0,1.0
2020-04-24,0.94,0.94,0.0,1.0
2020-04-27,0.941,0.941,0.0,1.0
2020-04-28,0.946,0.946,0.0,1.0
2020-04-29,0.948,0.948,0.0,1.0
2020-04-30,0.964,0.964,0.0,1.0
2020-05-06,0.971,0.971,0.0,1.0
2020-05-07,0.968,0.968,0.0,1.0
2020-05-08,0.978,0.978,0.0,1.0
2020-05-11,0.976,0.976,0.0,1.0
2020-05-12,0.977,0.977,0.0,1.0
2020-05-13,0.981,0.981,0.0,1.0
2020-05-14,0.973,0.973,0.0,1.0
2020-05-15,0.969,0.969,0.0,1.0
2020-05-18,0.972,0.972,0.0,1.0
2020-05-19,0.979,0.979,0.0,1.0
2020-05-20,0.975,0.975,0.0,1.0
2020-05-21,0.968,0.968,0.0,1.0
2020-05-22,0.948,0.948,0.0,1.0
2020-05-25,0.946,0.946,0.0,1.0
2020-05-26,0.96,0.96,0.0,1.0
2020-05-27,0.954,0.954,0.0,1.0
2020-05-28,0.954,0.954,0.0,1.0
2020-05-29,0.958,0.958,0.0,1.0
2020-06-01,0.984,0.984,0.0,1.0
2020-06-02,0.989,0.989,0.0,1.0
2020-06-03,0.989,0.989,0.0,1.0
2020-06-04,0.988,0.988,0.0,1.0
2020-06-05,0.992,0.992,0.0,1.0
2020-06-08,0.996,0.996,0.0,1.0
2020-06-09,1.002,1.002,0.0,1.0
2020-06-10,1.002,1.002,0.0,1.0
2020-06-11,0.995,0.995,0.0,1.0
2020-06-12,0.995,0.995,0.0,1.0
2020-06-15,0.988,0.988,0.0,1.0
2020-06-16,1.0,1.0,0.0,1.0
2020-06-17,1.003,1.003,0.0,1.0
2020-06-18,1.008,1.008,0.0,1.0
2020-06-19,1.021,1.021,0.0,1.0
2020-06-22,1.023,1.023,0.0,1.0
2020-06-23,1.028,1.028,0.0,1.0
2020-06-24,1.031,1.031,0.0,1.0
2020-06-29,1.027,1.027,0.0,1.0
2020-06-30,1.039,1.039,0.0,1.0
2020-07-01,1.058,1.058,0.0,1.0
2020-07-02,1.078,1.078,0.0,1.0
2020-07-03,1.097,1.097,0.0,1.0
2020-07-06,1.164,1.164,0.0,1.0
2020-07-07,1.166,1.166,0.0,1.0
2020-07-08,1.186,1.186,0.0,1.0
2020-07-09,1.203,1.203,0.0,1.0
2020-07-10,1.192,1.192,0.0,1.0
2020-07-13,1.218,1.218,0.0,1.0
2020-07-14,1.208,1.208,0.0,1.0
2020-07-15,1.194,1.194,0.0,1.0
2020-07-16,1.149,1.149,0.0,1.0
2020-07-17,1.157,1.157,0.0,1.0
2020-07-20,1.192,1.192,0.0,1.0
2020-07-21,1.195,1.195,0.0,1.0
2020-07-22,1.205,1.205,0.0,1.0
2020-07-23,1.203,1.203,0.0,1.0
2020-07-24,1.157,1.157,0.0,1.0
2020-07-27,1.155,1.155,0.0,1.0
2020-07-28,1.164,1.164,0.0,1.0
2020-07-29,1.192,1.192,0.0,1.0
2020-07-30,1.191,1.191,0.0,1.0
2020-07-31,1.198,1.198,0.0,1.0
2020-08-03,1.221,1.221,0.0,1.0
2020-08-04,1.222,1.222,0.0,1.0
2020-08-05,1.225,1.225,0.0,1.0
2020-08-06,1.221,1.221,0.0,1.0
2020-08-07,1.209,1.209,0.0,1.0
2020-08-10,1.213,1.213,0.0,1.0
2020-08-11,1.2,1.2,0.0,1.0
2020-08-12,1.189,1.189,0.0,1.0
2020-08-13,1.19,1.19,0.0,1.0
2020-08-14,1.21,1.21,0.0,1.0
2020-08-17,1.233,1.233,0.0,1.0
2020-08-18,1.235,1.235,0.0,1.0
2020-08-19,1.216,1.216,0.0,1.0
2020-08-20,1.202,1.202,0.0,1.0
2020-08-21,1.212,1.212,0.0,1.0
2020-08-24,1.22,1.22,0.0,1.0
2020-08-25,1.221,1.221,0.0,1.0
2020-08-26,1.207,1.207,0.0,1.0
2020-08-27,1.212,1.212,0.0,1.0
2020-08-28,1.243,1.243,0.0,1.0
2020-08-31,1.237,1.237,0.0,1.0
2020-09-01,1.241,1.241,0.0,1.0
2020-09-02,1.241,1.241,0.0,1.0
2020-09-03,1.234,1.234,0.0,1.0
2020-09-04,1.225,1.225,0.0,1.0
2020-09-07,1.198,1.198,0.0,1.0
2020-09-08,1.203,1.203,0.0,1.0
2020-09-09,1.178,1.178,0.0,1.0
2020-09-10,1.172,1.172,0.0,1.0
2020-09-11,1.181,1.181,0.0,1.0
2020-09-14,1.189,1.189,0.0,1.0
2020-09-15,1.196,1.196,0.0,1.0
2020-09-16,1.188,1.188,0.0,1.0
2020-09-17,1.187,1.187,0.0,1.0
2020-09-18,1.213,1.213,0.0,1.0
2020-09-21,1.203,1.203,0.0,1.0
2020-09-22,1.19,1.19,0.0,1.0
2020-09-23,1.192,1.192,0.0,1.0
2020-09-24,1.172,1.172,0.0,1.0
2020-09-25,1.172,1.172,0.0,1.0
2020-09-28,1.169,1.169,0.0,1.0
2020-09-29,1.175,1.175,0.0,1.0
2020-09-30,1.175,1.175,0.0,1.0
2020-10-09,1.194,1.194,0.0,1.0
2020-10-12,1.231,1.231,0.0,1.0
2020-10-13,1.235,1.235,0.0,1.0
2020-10-14,1.23,1.23,0.0,1.0
2020-10-15,1.224,1.224,0.0,1.0
2020-10-16,1.222,1.222,0.0,1.0
2020-10-19,1.214,1.214,0.0,1.0
2020-10-20,1.222,1.222,0.0,1.0
2020-10-21,1.222,1.222,0.0,1.0
2020-10-22,1.217,1.217,0.0,1.0
2020-10-23,1.204,1.204,0.0,1.0
2020-10-26,1.195,1.195,0.0,1.0
2020-10-27,1.195,1.195,0.0,1.0
2020-10-28,1.205,1.205,0.0,1.0
2020-10-29,1.217,1.217,0.0,1.0
2020-10-30,1.192,1.192,0.0,1.0
2020-11-02,1.196,1.196,0.0,1.0
2020-11-03,1.211,1.211,0.0,1.0
2020-11-04,1.218,1.218,0.0,1.0
2020-11-05,1.237,1.237,0.0,1.0
2020-11-06,1.237,1.237,0.0,1.0
2020-11-09,1.264,1.264,0.0,1.0
2020-11-10,1.254,1.254,0.0,1.0
2020-11-11,1.239,1.239,0.0,1.0
2020-11-12,1.24,1.24,0.0,1.0
2020-11-13,1.232,1.232,0.0,1.0
2020-11-16,1.244,1.244,0.0,1.0
2020-11-17,1.24,1.24,0.0,1.0
2020-11-18,1.239,1.239,0.0,1.0
2020-11-19,1.248,1.248,0.0,1.0
2020-11-20,1.252,1.252,0.0,1.0
2020-11-23,1.268,1.268,0.0,1.0
2020-11-24,1.261,1.261,0.0,1.0
2020-11-25,1.246,1.246,0.0,1.0
2020-11-26,1.245,1.245,0.0,1.0
2020-11-27,1.26,1.26,0.0,1.0
2020-11-30,1.256,1.256,0.0,1.0
2020-12-01,1.278,1.278,0.0,1.0
2020-12-02,1.277,1.277,0.0,1.0
2020-12-03,1.278,1.278,0.0,1.0
2020-12-04,1.282,1.282,0.0,1.0
2020-12-07,1.272,1.272,0.0,1.0
2020-12-08,1.266,1.266,0.0,1.0
2020-12-09,1.252,1.252,0.0,1.0
2020-12-10,1.25,1.25,0.0,1.0
2020-12-11,1.235,1.235,0.0,1.0
2020-12-14,1.245,1.245,0.0,1.0
2020-12-15,1.249,1.249,0.0,1.0
2020-12-16,1.252,1.252,0.0,1.0
2020-12-17,1.264,1.264,0.0,1.0
2020-12-18,1.262,1.262,0.0,1.0
2020-12-21,1.272,1.272,0.0,1.0
2020-12-22,1.254,1.254,0.0,1.0
2020-12-23,1.263,1.263,0.0,1.0
2020-12-24,1.259,1.259,0.0,1.0
2020-12-25,1.265,1.265,0.0,1.0
2020-12-28,1.269,1.269,0.0,1.0
2020-12-29,1.264,1.264,0.0,1.0
2020-12-30,1.282,1.282,0.0,1.0
2020-12-31,1.305,1.305,0.0,1.0
2021-01-04,1.321,1.321,0.0,1.0
2021-01-05,1.341,1.341,0.0,1.0
2021-01-06,1.351,1.351,0.0,1.0
2021-01-07,1.372,1.372,0.0,1.0
2021-01-08,1.366,1.366,0.0,1.0
2021-01-11,1.353,1.353,0.0,1.0
2021-01-12,1.385,1.385,0.0,1.0
2021-01-13,1.379,1.379,0.0,1.0
2021-01-14,1.355,1.355,0.0,1.0
2021-01-15,1.35,1.35,0.0,1.0
2021-01-18,1.367,1.367,0.0,1.0
2021-01-19,1.352,1.352,0.0,1.0
2021-01-20,1.362,1.362,0.0,1.0
2021-01-21,1.384,1.384,0.0,1.0
2021-01-22,1.385,1.385,0.0,1.0
2021-01-25,1.395,1.395,0.0,1.0
2021-01-26,1.369,1.369,0.0,1.0
2021-01-27,1.371,1.371,0.0,1.0
2021-01-28,1.34,1.34,0.0,1.0
2021-01-29,1.328,1.328,0.0,1.0
2021-02-01,1.343,1.343,0.0,1.0
2021-02-02,1.362,1.362,0.0,1.0
2021-02-03,1.36,1.36,0.0,1.0
2021-02-04,1.354,1.354,0.0,1.0
2021-02-05,1.35,1.35,0.0,1.0
2021-02-08,1.367,1.367,0.0,1.0
2021-02-09,1.398,1.398,0.0,1.0
2021-02-10,1.428,1.428,0.0,1.0
2021-02-18,1.424,1.424,0.0,1.0
2021-02-19,1.429,1.429,0.0,1.0
2021-02-22,1.391,1.391,0.0,1.0
2021-02-23,1.39,1.39,0.0,1.0
2021-02-24,1.352,1.352,0.0,1.0
2021-02-25,1.363,1.363,0.0,1.0
2021-02-26,1.328,1.328,0.0,1.0
2021-03-01,1.347,1.347,0.0,1.0
2021-03-02,1.336,1.336,0.0,1.0
2021-03-03,1.355,1.355,0.0,1.0
2021-03-04,1.323,1.323,0.0,1.0
2021-03-05,1.317,1.317,0.0,1.0
2021-03-08,1.274,1.274,0.0,1.0
2021-03-09,1.248,1.248,0.0,1.0
2021-03-10,1.25,1.25,0.0,1.0
2021-03-11,1.284,1.284,0.0,1.0
2021-03-12,1.289,1.289,0.0,1.0
2021-03-15,1.265,1.265,0.0,1.0
2021-03-16,1.272,1.272,0.0,1.0
2021-03-17,1.275,1.275,0.0,1.0
2021-03-18,1.286,1.286,0.0,1.0
2021-03-19,1.26,1.26,0.0,1.0
2021-03-22,1.271,1.271,0.0,1.0
2021-03-23,1.26,1.26,0.0,1.0
2021-03-24,1.24,1.24,0.0,1.0
2021-03-25,1.241,1.241,0.0,1.0
2021-03-26,1.264,1.264,0.0,1.0
2021-03-29,1.268,1.268,0.0,1.0
2021-03-30,1.277,1.277,0.0,1.0
2021-03-31,1.269,1.269,0.0,1.0
2021-04-01,1.283,1.283,0.0,1.0
2021-04-02,1.292,1.292,0.0,1.0
2021-04-06,1.288,1.288,0.0,1.0
2021-04-07,1.284,1.284,0.0,1.0
2021-04-08,1.287,1.287,0.0,1.0
2021-04-09,1.273,1.273,0.0,1.0
2021-04-12,1.251,1.251,0.0,1.0
2021-04-13,1.247,1.247,0.0,1.0
2021-04-14,1.255,1.255,0.0,1.0
2021-04-15,1.255,1.255,0.0,1.0
2021-04-16,1.261,1.261,0.0,1.0
2021-04-19,1.284,1.284,0.0,1.0
2021-04-20,1.284,1.284,0.0,1.0
2021-04-21,1.287,1.287,0.0,1.0
2021-04-22,1.286,1.286,0.0,1.0
2021-04-23,1.298,1.298,0.0,1.0
2021-04-26,1.286,1.286,0.0,1.0
2021-04-27,1.29,1.29,0.0,1.0
2021-04-28,1.299,1.299,0.0,1.0
2021-04-29,1.307,1.307,0.0,1.0
2021-04-30,1.299,1.299,0.0,1.0
2021-05-06,1.285,1.285,0.0,1.0
2021-05-07,1.274,1.274,0.0,1.0
2021-05-10,1.271,1.271,0.0,1.0
2021-05-11,1.278,1.278,0.0,1.0
2021-05-12,1.284,1.284,0.0,1.0
2021-05-13,1.27,1.27,0.0,1.0
2021-05-14,1.3,1.3,0.0,1.0
2021-05-17,1.315,1.315,0.0,1.0
2021-05-18,1.315,1.315,0.0,1.0
2021-05-19,1.313,1.313,0.0,1.0
2021-05-20,1.314,1.314,0.0,1.0
2021-05-21,1.303,1.303,0.0,1.0
2021-05-24,1.307,1.307,0.0,1.0
2021-05-25,1.345,1.345,0.0,1.0
2021-05-26,1.346,1.346,0.0,1.0
2021-05-27,1.351,1.351,0.0,1.0
2021-05-28,1.349,1.349,0.0,1.0
2021-05-31,1.352,1.352,0.0,1.0
2021-06-01,1.354,1.354,0.0,1.0
2021-06-02,1.344,1.344,0.0,1.0
2021-06-03,1.336,1.336,0.0,1.0
2021-06-04,1.343,1.343,0.0,1.0
2021-06-07,1.344,1.344,0.0,1.0
2021-06-08,1.335,1.335,0.0,1.0
2021-06-09,1.335,1.335,0.0,1.0
2021-06-10,1.348,1.348,0.0,1.0
2021-06-11,1.337,1.337,0.0,1.0
2021-06-15,1.321,1.321,0.0,1.0
2021-06-16,1.301,1.301,0.0,1.0
2021-06-17,1.305,1.305,0.0,1.0
2021-06-18,1.309,1.309,0.0,1.0
2021-06-21,1.309,1.309,0.0,1.0
2021-06-22,1.318,1.318,0.0,1.0
2021-06-23,1.326,1.326,0.0,1.0
2021-06-24,1.325,1.325,0.0,1.0
2021-06-25,1.343,1.343,0.0,1.0
2021-06-28,1.347,1.347,0.0,1.0
2021-06-29,1.337,1.337,0.0,1.0
2021-06-30,1.343,1.343,0.0,1.0
2021-07-01,1.342,1.342,0.0,1.0
2021-07-02,1.308,1.308,0.0,1.0
2021-07-05,1.311,1.311,0.0,1.0
2021-07-06,1.316,1.316,0.0,1.0
2021-07-07,1.326,1.326,0.0,1.0
2021-07-08,1.32,1.32,0.0,1.0
2021-07-09,1.317,1.317,0.0,1.0
2021-07-12,1.336,1.336,0.0,1.0
2021-07-13,1.339,1.339,0.0,1.0
2021-07-14,1.327,1.327,0.0,1.0
2021-07-15,1.339,1.339,0.0,1.0
2021-07-16,1.332,1.332,0.0,1.0
2021-07-19,1.335,1.335,0.0,1.0
2021-07-20,1.332,1.332,0.0,1.0
2021-07-21,1.343,1.343,0.0,1.0
2021-07-22,1.345,1.345,0.0,1.0
2021-07-23,1.336,1.336,0.0,1.0
2021-07-26,1.299,1.299,0.0,1.0
2021-07-27,1.258,1.258,0.0,1.0
2021-07-28,1.255,1.255,0.0,1.0
2021-07-29,1.276,1.276,0.0,1.0
2021-07-30,1.269,1.269,0.0,1.0
2021-08-02,1.299,1.299,0.0,1.0
2021-08-03,1.298,1.298,0.0,1.0
2021-08-04,1.311,1.311,0.0,1.0
2021-08-05,1.304,1.304,0.0,1.0
2021-08-06,1.303,1.303,0.0,1.0
2021-08-09,1.315,1.315,0.0,1.0
2021-08-10,1.329,1.329,0.0,1.0
2021-08-11,1.324,1.324,0.0,1.0
2021-08-12,1.32,1.32,0.0,1.0
2021-08-13,1.314,1.314,0.0,1.0
2021-08-16,1.313,1.313,0.0,1.0
2021-08-17,1.285,1.285,0.0,1.0
2021-08-18,1.296,1.296,0.0,1.0
2021-08-19,1.29,1.29,0.0,1.0
2021-08-20,1.272,1.272,0.0,1.0
2021-08-23,1.29,1.29,0.0,1.0
2021-08-24,1.305,1.305,0.0,1.0
2021-08-25,1.308,1.308,0.0,1.0
2021-08-26,1.292,1.292,0.0,1.0
2021-08-27,1.298,1.298,0.0,1.0
2021-08-30,1.295,1.295,0.0,1.0
2021-08-31,1.295,1.295,0.0,1.0
2021-09-01,1.306,1.306,0.0,1.0
2021-09-02,1.31,1.31,0.0,1.0
2021-09-03,1.303,1.303,0.0,1.0
2021-09-06,1.325,1.325,0.0,1.0
2021-09-07,1.349,1.349,0.0,1.0
2021-09-08,1.344,1.344,0.0,1.0
2021-09-09,1.346,1.346,0.0,1.0
2021-09-10,1.355,1.355,0.0,1.0
2021-09-13,1.353,1.353,0.0,1.0
2021-09-14,1.333,1.333,0.0,1.0
2021-09-15,1.325,1.325,0.0,1.0
2021-09-16,1.306,1.306,0.0,1.0
2021-09-17,1.314,1.314,0.0,1.0
2021-09-22,1.308,1.308,0.0,1.0
2021-09-23,1.317,1.317,0.0,1.0
2021-09-24,1.313,1.313,0.0,1.0
2021-09-27,1.311,1.311,0.0,1.0
2021-09-28,1.31,1.31,0.0,1.0
2021-09-29,1.296,1.296,0.0,1.0
2021-09-30,1.302,1.302,0.0,1.0
2021-10-08,1.316,1.316,0.0,1.0
2021-10-11,1.318,1.318,0.0,1.0
2021-10-12,1.299,1.299,0.0,1.0
2021-10-13,1.312,1.312,0.0,1.0
2021-10-14,1.309,1.309,0.0,1.0
2021-10-15,1.314,1.314,0.0,1.0
2021-10-18,1.303,1.303,0.0,1.0
2021-10-19,1.315,1.315,0.0,1.0
2021-10-20,1.314,1.314,0.0,1.0
2021-10-21,1.316,1.316,0.0,1.0
2021-10-22,1.32,1.32,0.0,1.0
2021-10-25,1.328,1.328,0.0,1.0
2021-10-26,1.325,1.325,0.0,1.0
2021-10-27,1.309,1.309,0.0,1.0
2021-10-28,1.298,1.298,0.0,1.0
2021-10-29,1.309,1.309,0.0,1.0
2021-11-01,1.307,1.307,0.0,1.0
2021-11-02,1.294,1.294,0.0,1.0
2021-11-03,1.293,1.293,0.0,1.0
2021-11-04,1.302,1.302,0.0,1.0
2021-11-05,1.297,1.297,0.0,1.0
2021-11-08,1.297,1.297,0.0,1.0
2021-11-09,1.3,1.3,0.0,1.0
2021-11-10,1.293,1.293,0.0,1.0
2021-11-11,1.311,1.311,0.0,1.0
2021-11-12,1.311,1.311,0.0,1.0
2021-11-15,1.309,1.309,0.0,1.0
2021-11-16,1.306,1.306,0.0,1.0
2021-11-17,1.307,1.307,0.0,1.0
2021-11-18,1.298,1.298,0.0,1.0
2021-11-19,1.311,1.311,0.0,1.0
2021-11-22,1.317,1.317,0.0,1.0
2021-11-23,1.322,1.322,0.0,1.0
2021-11-24,1.322,1.322,0.0,1.0
2021-11-25,1.318,1.318,0.0,1.0
2021-11-26,1.31,1.31,0.0,1.0
2021-11-29,1.307,1.307,0.0,1.0
2021-11-30,1.305,1.305,0.0,1.0
2021-12-01,1.307,1.307,0.0,1.0
2021-12-02,1.308,1.308,0.0,1.0
2021-12-03,1.32,1.32,0.0,1.0
2021-12-06,1.316,1.316,0.0,1.0
2021-12-07,1.32,1.32,0.0,1.0
2021-12-08,1.34,1.34,0.0,1.0
2021-12-09,1.36,1.36,0.0,1.0
2021-12-10,1.356,1.356,0.0,1.0
2021-12-13,1.357,1.357,0.0,1.0
2021-12-14,1.353,1.353,0.0,1.0
2021-12-15,1.343,1.343,0.0,1.0
2021-12-16,1.351,1.351,0.0,1.0
2021-12-17,1.334,1.334,0.0,1.0
2021-12-20,1.315,1.315,0.0,1.0
2021-12-21,1.32,1.32,0.0,1.0
2021-12-22,1.322,1.322,0.0,1.0
2021-12-23,1.329,1.329,0.0,1.0
2021-12-24,1.323,1.323,0.0,1.0
2021-12-27,1.323,1.323,0.0,1.0
2021-12-28,1.331,1.331,0.0,1.0
2021-12-29,1.314,1.314,0.0,1.0
2021-12-30,1.322,1.322,0.0,1.0
2021-12-31,1.331,1.331,0.0,1.0
2022-01-04,1.327,1.327,0.0,1.0
2022-01-05,1.311,1.311,0.0,1.0
2022-01-06,1.302,1.302,0.0,1.0
2022-01-07,1.301,1.301,0.0,1.0
2022-01-10,1.305,1.305,0.0,1.0
2022-01-11,1.295,1.295,0.0,1.0
2022-01-12,1.304,1.304,0.0,1.0
2022-01-13,1.285,1.285,0.0,1.0
2022-01-14,1.278,1.278,0.0,1.0
2022-01-17,1.286,1.286,0.0,1.0
2022-01-18,1.296,1.296,0.0,1.0
2022-01-19,1.289,1.289,0.0,1.0
2022-01-20,1.295,1.295,0.0,1.0
2022-01-21,1.285,1.285,0.0,1.0
2022-01-24,1.285,1.285,0.0,1.0
2022-01-25,1.254,1.254,0.0,1.0
2022-01-26,1.261,1.261,0.0,1.0
