date,close,total_return_proxy,cumulative_dividend,split_factor
2026-01-05,1.119,1.119,0.0,1.0
2026-01-06,1.212,1.212,0.0,1.0
2026-01-07,1.195,1.195,0.0,1.0
2026-01-08,1.255,1.255,0.0,1.0
2026-01-09,1.33,1.33,0.0,1.0
2026-01-12,1.463,1.463,0.0,1.0
2026-01-13,1.374,1.374,0.0,1.0
2026-01-14,1.389,1.389,0.0,1.0
2026-01-15,1.261,1.261,0.0,1.0
2026-01-16,1.267,1.267,0.0,1.0
2026-01-19,1.275,1.275,0.0,1.0
2026-01-20,1.216,1.216,0.0,1.0
2026-01-21,1.21,1.21,0.0,1.0
2026-01-22,1.249,1.249,0.0,1.0
2026-01-23,1.367,1.367,0.0,1.0
2026-01-26,1.265,1.265,0.0,1.0
2026-01-27,1.27,1.27,0.0,1.0
2026-01-28,1.246,1.246,0.0,1.0
2026-01-29,1.23,1.23,0.0,1.0
2026-01-30,1.208,1.208,0.0,1.0
2026-02-02,1.191,1.191,0.0,1.0
2026-02-03,1.237,1.237,0.0,1.0
2026-02-04,1.217,1.217,0.0,1.0
2026-02-05,1.19,1.19,0.0,1.0
2026-02-06,1.172,1.172,0.0,1.0
2026-02-09,1.199,1.199,0.0,1.0
2026-02-10,1.181,1.181,0.0,1.0
2026-02-11,1.167,1.167,0.0,1.0
2026-02-12,1.162,1.162,0.0,1.0
2026-02-13,1.153,1.153,0.0,1.0
2026-02-24,1.15,1.15,0.0,1.0
2026-02-25,1.178,1.178,0.0,1.0
2026-02-26,1.195,1.195,0.0,1.0
2026-02-27,1.208,1.208,0.0,1.0
2026-03-02,1.254,1.254,0.0,1.0
2026-03-03,1.16,1.16,0.0,1.0
2026-03-04,1.166,1.166,0.0,1.0
2026-03-05,1.18,1.18,0.0,1.0
2026-03-06,1.184,1.184,0.0,1.0
2026-03-09,1.174,1.174,0.0,1.0
2026-03-10,1.194,1.194,0.0,1.0
2026-03-11,1.175,1.175,0.0,1.0
2026-03-12,1.149,1.149,0.0,1.0
2026-03-13,1.116,1.116,0.0,1.0
2026-03-16,1.109,1.109,0.0,1.0
2026-03-17,1.074,1.074,0.0,1.0
2026-03-18,1.112,1.112,0.0,1.0
2026-03-19,1.096,1.096,0.0,1.0
2026-03-20,1.062,1.062,0.0,1.0
2026-03-23,1.008,1.008,0.0,1.0
2026-03-24,1.024,1.024,0.0,1.0
2026-03-25,1.035,1.035,0.0,1.0
2026-03-26,1.019,1.019,0.0,1.0
2026-03-27,1.022,1.022,0.0,1.0
2026-03-30,1.042,1.042,0.0,1.0
