signal_date,execution_date,selected,selected_count
2019-10-18,2019-10-21,"511880,518880,518800,159937,512010,513500,513100,159949,159901,159915",10
2019-10-25,2019-10-28,"511880,518800,518880,159937,512010,159905,159901,159949,513500,159915",10
2019-11-01,2019-11-04,"511880,518880,159937,159934,512010,159905,159901,513500,159952,159949",10
2019-11-08,2019-11-11,"511880,512010,513500,159901,159949,159952,159905,513100,513050,159920",10
2019-11-15,2019-11-18,"511880,513500,513100,512010,159901,510050,159949,159905,513050,159937",10
2019-11-22,2019-11-25,"511880,513100,513500,512010,159949,159901,512800,159952,159905,159934",10
2019-11-29,2019-12-02,"511880,513100,513500,513050,159901,159949,512800,159905,159915,518880",10
2019-12-06,2019-12-09,"511880,513100,513500,513050,159949,159901,159915,512010,159905,159934",10
2019-12-13,2019-12-16,"511880,513100,513050,159949,513500,159901,159915,159905,512800,159920",10
2019-12-20,2019-12-23,"511880,513050,513100,159901,159905,513500,159949,512800,159952,159920",10
2019-12-27,2019-12-30,"511880,513050,513100,513500,159905,159901,159949,512800,159920,159919",10
2020-01-03,2020-01-06,"511880,513100,513500,513050,159901,159949,159905,159919,159920,512800",10
2020-01-10,2020-01-13,"511880,513100,513050,159949,159901,159905,513500,159915,512010,510880",10
2020-01-17,2020-01-20,"511880,513100,159949,159901,513050,159915,159905,512010,513500,512400",10
2020-01-23,2020-02-03,"511880,513100,159949,513500,159915,159952,513050,512400,512010,159937",10
2020-02-07,2020-02-10,"511880,513100,513500,513050,159949,159915,159952,512010,159937,518880",10
2020-02-14,2020-02-17,"511880,513100,513050,159949,159915,513500,159952,159937,518880,159934",10
2020-02-21,2020-02-24,"511880,159937,518800,159934,159949,159915,513050,159952,513100,513500",10
2020-02-28,2020-03-02,"511880,518880,159937,518800,159949,159915,159952,513050,513100,512660",10
2020-03-06,2020-03-09,"511880,159949,159915,159952,513050,512010,518880,159937,518800,513100",10
2020-03-13,2020-03-16,"511880,159949,159915,159952,518880,518800,159937,512660,513050,513100",10
2020-03-20,2020-03-23,"511880,159949,159915,159952,513100,159937,518880,159934,512660,512010",10
2020-03-27,2020-03-30,"511880,159949,512010,518800,518880,159937,159915,159952,513050,513100",10
2020-04-03,2020-04-07,"511880,159949,512010,159937,518800,518880,159915,159952,513050,513100",10
2020-04-10,2020-04-13,"511880,512010,159949,159915,159952,159937,518880,518800,513050,513100",10
2020-04-17,2020-04-20,"511880,159949,518880,518800,159937,512010,159915,159952,513100,513050",10
2020-04-24,2020-04-27,"511880,159937,518880,159934,159949,512010,159915,513100,159952,513050",10
2020-04-30,2020-05-06,"511880,159937,159934,518880,159949,159915,513100,159952,512010,512660",10
2020-05-08,2020-05-11,"511880,159937,518880,518800,159949,512010,159915,159952,513100,512660",10
2020-05-15,2020-05-18,"511880,159937,518880,518800,159949,512010,159915,159952,513050,513100",10
2020-05-22,2020-05-25,"511880,159937,518800,518880,513050,512690,513100,159949,159941,159915",10
2020-05-29,2020-06-01,"511880,518880,518800,159937,512690,512010,513100,159949,159915,159952",10
2020-06-05,2020-06-08,"511880,512690,513050,159941,513100,159949,518880,518800,159934,513500",10
2020-06-12,2020-06-15,"511880,512690,512010,159941,513100,159949,518880,518800,159937,159915",10
2020-06-19,2020-06-22,"511880,512690,518800,518880,159937,512010,159949,159915,159952,513100",10
2020-06-24,2020-06-29,"511880,159949,159915,512690,512010,159952,518800,518880,159934,513100",10
2020-07-03,2020-07-06,"511880,159915,159949,159952,512170,512010,518800,518880,159937,513100",10
2020-07-10,2020-07-13,"159949,511880,159915,159952,512170,512010,513100,518800,159937,159934",10
2020-07-17,2020-07-20,"511880,518800,512170,159937,159934,512010,159949,513100,159915,159952",10
2020-07-24,2020-07-27,"511880,159937,518800,518880,512170,512010,159949,159952,159915,513100",10
2020-07-31,2020-08-03,"511880,518880,518800,159934,512170,512010,159967,159949,159915,159905",10
2020-08-07,2020-08-10,"511880,518880,518800,159934,512010,512170,159949,159967,510210,513500",10
2020-08-14,2020-08-17,"511880,512690,512170,159901,159949,510210,159905,513500,159941,510880",10
2020-08-21,2020-08-24,"511880,512690,513050,159941,510210,159905,159922,159901,513100,510880",10
2020-08-28,2020-08-31,"511880,512690,513050,159941,159901,159949,159905,510310,513100,513500",10
2020-09-04,2020-09-07,"511880,512690,512170,159922,159949,159901,159905,510880,512400,513100",10
2020-09-11,2020-09-14,"511880,512690,159905,510310,510210,512710,159919,510880,512400,518880",10
2020-09-18,2020-09-21,"511880,512690,510880,512710,510210,159905,510310,159922,512400,159934",10
2020-09-25,2020-09-28,"511880,512690,512710,159949,159905,159922,510310,510880,513100,512400",10
2020-09-30,2020-10-09,"511880,512690,512170,159967,159949,159901,159905,513100,159941,518880",10
2020-10-09,2020-10-12,"511880,512690,513050,159949,513100,159967,159905,159901,159941,159934",10
2020-10-16,2020-10-19,"511880,512690,513050,159905,159941,513100,159901,159967,159949,510880",10
2020-10-23,2020-10-26,"511880,512690,513050,513100,159919,159905,510100,510310,159941,513500",10
2020-10-30,2020-11-02,"511880,512690,513050,159919,513100,159905,510100,159901,510880,159941",10
2020-11-06,2020-11-09,"511880,512690,159905,159919,513050,159901,159949,513100,510880,159941",10
2020-11-13,2020-11-16,"511880,512690,159919,159905,159901,510310,510880,513050,512400,513100",10
2020-11-20,2020-11-23,"511880,159905,512690,159919,159901,510310,510880,512400,513050,513100",10
2020-11-27,2020-11-30,"511880,159905,159919,510100,512690,510310,510880,512800,512400,159920",10
2020-12-04,2020-12-07,"511880,159905,159919,510100,159901,512690,512400,512710,510880,159920",10
2020-12-11,2020-12-14,"511880,512690,159919,159905,159901,159967,513050,512400,513500,510880",10
2020-12-18,2020-12-21,"511880,512690,159905,159967,159949,159901,512400,513500,512170,510880",10
2020-12-25,2020-12-28,"511880,512690,159905,159967,159901,159949,513500,512170,512400,159941",10
2020-12-31,2021-01-04,"511880,512690,159905,159967,159901,159919,512170,513500,512400,159920",10
2021-01-08,2021-01-11,"511880,512690,159905,159919,159901,159967,512170,159980,512400,513500",10
2021-01-15,2021-01-18,"511880,512690,512170,159967,159919,159949,159905,159920,512400,159980",10
2021-01-22,2021-01-25,"511880,159967,159949,159920,512690,159919,512170,513500,159941,159905",10
2021-01-29,2021-02-01,"511880,512690,159967,510100,159949,159980,512400,512170,159905,513500",10
2021-02-05,2021-02-08,"511880,512690,159967,159949,510100,159905,512170,159980,159941,513500",10
2021-02-10,2021-02-18,"511880,512690,159967,159949,510100,159905,512010,159980,512400,159941",10
2021-02-19,2021-02-22,"511880,510100,512690,510050,159919,159905,159980,512170,512400,159941",10
2021-02-26,2021-03-01,"511880,159980,159967,159949,510100,159905,512010,512400,512690,159920",10
2021-03-05,2021-03-08,"511880,159980,512400,512690,159967,510100,159919,512800,159920,159905",10
2021-03-12,2021-03-15,"511880,513500,512800,512400,159980,159920,515080,510100,159919,159905",10
